trims,using_part,size,cost
Neck_Tape,Collar Back Neck,SMALL,0.3
Neck_Tape,Collar Back Neck,LARGE,0.0
Neck_Tape,Collar Back Neck & Shoulder,SMALL,0.57
Neck_Tape,Collar Back Neck & Shoulder,LARGE,0.0
Neck_Tape,Not Specific area yet,SMALL,1.0
Neck_Tape,Not Specific area yet,LARGE,1.0
Binding_Tape,Collar (All) excepted A shirt,SMALL,0.6
Binding_Tape,Collar (All) excepted A shirt,LARGE,0.0
Binding_Tape,Collar (A Shirt),SMALL,0.75
Binding_Tape,Collar (A Shirt),LARGE,0.0
Binding_Tape,Collar & Armhole (A shirt),SMALL,2.2
Binding_Tape,Collar & Armhole (A shirt),LARGE,0.0
Binding_Tape,Collar & Sleeve opening (T shirt),SMALL,1.5
Binding_Tape,Collar & Sleeve opening (T shirt),LARGE,0.0
Binding_Tape,Collar & Sleeve opening (LS shirt),SMALL,0.0
Binding_Tape,Collar & Sleeve opening (LS shirt),LARGE,0.0
Binding_Tape,Collar & Armhole (Sleeveless T),SMALL,1.9
Binding_Tape,Collar & Armhole (Sleeveless T),LARGE,0.0
Binding_Tape,Arm opening (A shirt),SMALL,1.6
Binding_Tape,Arm opening (A shirt),LARGE,0.0
Binding_Tape,sleeve opening (T shirt),SMALL,0.9
Binding_Tape,sleeve opening (T shirt),LARGE,0.0
Binding_Tape,sleeve opening (LS shirt),SMALL,0.7
Binding_Tape,sleeve opening (LS shirt),LARGE,0.0
Binding_Tape,sleeve opening (Sleeveless T),SMALL,1.3
Binding_Tape,sleeve opening (Sleeveless T),LARGE,0.0
Binding_Tape,Not Specific area yet,SMALL,1.0
Binding_Tape,Not Specific area yet,LARGE,1.0
Mobilon_Tape,Collar (All) excepted A shirt,SMALL,0.6
Mobilon_Tape,Collar (All) excepted A shirt,LARGE,0.0
Mobilon_Tape,Collar (A Shirt),SMALL,0.75
Mobilon_Tape,Collar (A Shirt),LARGE,0.0
Mobilon_Tape,Collar & Armhole (A shirt),SMALL,2.2
Mobilon_Tape,Collar & Armhole (A shirt),LARGE,0.0
Mobilon_Tape,Collar & Sleeve opening (T shirt),SMALL,1.5
Mobilon_Tape,Collar & Sleeve opening (T shirt),LARGE,0.0
Mobilon_Tape,Collar & Sleeve opening (LS shirt),SMALL,0.0
Mobilon_Tape,Collar & Sleeve opening (LS shirt),LARGE,0.0
Mobilon_Tape,Collar & Armhole (Sleeveless T),SMALL,1.9
Mobilon_Tape,Collar & Armhole (Sleeveless T),LARGE,0.0
Mobilon_Tape,Arm opening (A shirt),SMALL,1.6
Mobilon_Tape,Arm opening (A shirt),LARGE,0.0
Mobilon_Tape,Sleeve opening (T shirt),SMALL,0.9
Mobilon_Tape,Sleeve opening (T shirt),LARGE,0.0
Mobilon_Tape,Sleeve opening (LS shirt),SMALL,0.7
Mobilon_Tape,Sleeve opening (LS shirt),LARGE,0.0
Mobilon_Tape,Sleeve opening (Sleeveless T),SMALL,1.3
Mobilon_Tape,Sleeve opening (Sleeveless T),LARGE,0.0
Mobilon_Tape,Shoulders,SMALL,0.34
Mobilon_Tape,Shoulders,LARGE,0.0
Mobilon_Tape,Shoulders (A Shirt),SMALL,0.16
Mobilon_Tape,Shoulders (A Shirt),LARGE,0.0
Mobilon_Tape,Not Specific area yet,SMALL,1.0
Mobilon_Tape,Not Specific area yet,LARGE,1.0
Pip_label,Side panel left Bottom hem,SMALL,1.0
Pip_label,Side panel left Bottom hem,LARGE,1.0
Pip_label,Not Specific area yet,SMALL,1.0
Pip_label,Not Specific area yet,LARGE,1.0
Woven_Care_Label,Left Buttom hem,SMALL,1.0
Woven_Care_Label,Left Buttom hem,LARGE,1.0
Woven_Care_Label,Not Specific area yet,SMALL,1.0
Woven_Care_Label,Not Specific area yet,LARGE,1.0
Deodorant_Tape,Collar (All) excepted A shirt,SMALL,0.6
Deodorant_Tape,Collar (All) excepted A shirt,LARGE,0.0
Deodorant_Tape,Collar (A Shirt),SMALL,0.75
Deodorant_Tape,Collar (A Shirt),LARGE,0.0
Deodorant_Tape,Collar & Armhole (A shirt),SMALL,2.2
Deodorant_Tape,Collar & Armhole (A shirt),LARGE,0.0
Deodorant_Tape,Collar & Sleeve opening (T shirt),SMALL,1.5
Deodorant_Tape,Collar & Sleeve opening (T shirt),LARGE,0.0
Deodorant_Tape,Collar & Sleeve opening (LS shirt),SMALL,0.0
Deodorant_Tape,Collar & Sleeve opening (LS shirt),LARGE,0.0
Deodorant_Tape,Collar & Armhole (Sleeveless T),SMALL,1.9
Deodorant_Tape,Collar & Armhole (Sleeveless T),LARGE,0.0
Deodorant_Tape,Arm opening (A shirt),SMALL,1.6
Deodorant_Tape,Arm opening (A shirt),LARGE,0.0
Deodorant_Tape,Sleeve opening (T shirt),SMALL,0.9
Deodorant_Tape,Sleeve opening (T shirt),LARGE,0.0
Deodorant_Tape,Sleeve opening (LS shirt),SMALL,0.7
Deodorant_Tape,Sleeve opening (LS shirt),LARGE,0.0
Deodorant_Tape,Sleeve opening (Sleeveless T),SMALL,1.3
Deodorant_Tape,Sleeve opening (Sleeveless T),LARGE,0.0
Deodorant_Tape,Shoulders,SMALL,0.34
Deodorant_Tape,Shoulders,LARGE,0.0
Deodorant_Tape,Shoulders (A Shirt),SMALL,0.16
Deodorant_Tape,Shoulders (A Shirt),LARGE,0.0
Deodorant_Tape,Not Specific area yet,SMALL,1.0
Deodorant_Tape,Not Specific area yet,LARGE,1.0
