k7_key,using_part,usage
A_Shirt_Side_Seam,Whole Garment,0.4572
A_Shirt_Side_Seam,Body,0.438
A_Shirt_Side_Seam,Front Body Panel,0.219
A_Shirt_Side_Seam,Back Body Panel,0.219
A_Shirt_Side_Seam,Binding Collar,0.0192
A_Shirt_Side_Seam,Binding Collar & Armhole,0.0561
A_Shirt_Side_Seam,Back Neck Tape,0.0098
A_Shirt_Side_Seam,Binding Armhole,0.0369
A_Shirt_Side_Seam,Insert Side Panel (cut part),0.05
A_Shirt_Side_Seam,Binding Bottom Hem,0.037
A_Shirt_Side_Seam,Pocket bag,0.0152
A_Shirt_Side_Seam,Not specific yet,1.0
A_Shirt_No_Seam,Whole Garment,0.9898
A_Shirt_No_Seam,Body,0.97
A_Shirt_No_Seam,Binding Collar,0.0198
A_Shirt_No_Seam,Binding Collar & Armhole,0.0538
A_Shirt_No_Seam,Back Neck Tape,0.0086
A_Shirt_No_Seam,Binding Armhole,0.034
A_Shirt_No_Seam,Insert Side Panel (cut part),0.05
A_Shirt_No_Seam,Binding Bottom Hem,0.037
A_Shirt_No_Seam,Pocket bag,0.0201
A_Shirt_No_Seam,Not specific yet,1.0
T_Shirt_Side_Seam,Whole Garment,0.88
T_Shirt_Side_Seam,Body & Sleeves,0.772
T_Shirt_Side_Seam,Collar,0.027
T_Shirt_Side_Seam,Sleeves Panel,0.21
T_Shirt_Side_Seam,Front Body Panel,0.281
T_Shirt_Side_Seam,Back Body Panel,0.281
T_Shirt_Side_Seam,Gusset Under Arms,0.073
T_Shirt_Side_Seam,Insert Side Panel (cut part),0.05
T_Shirt_Side_Seam,Back Neck Tape,0.0098
T_Shirt_Side_Seam,Binding Collar,0.0148
T_Shirt_Side_Seam,Binding Shoulder Tape,0.0116
T_Shirt_Side_Seam,Binding Back Neck &Shoulder line tape,0.0097
T_Shirt_Side_Seam,Binding Bottom Hem,0.0267
T_Shirt_Side_Seam,Binding Sleeve Hem Opening,0.0192
T_Shirt_Side_Seam,Pocket bag,0.0152
T_Shirt_Side_Seam,Not specific yet,1.0
T_Shirt_No_Seam,Whole Garment,0.997
T_Shirt_No_Seam,Body & Sleeves,0.97
T_Shirt_No_Seam,Collar,0.027
T_Shirt_No_Seam,Sleeves Panel,0.277
T_Shirt_No_Seam,Gusset Under Arms,0.073
T_Shirt_No_Seam,Insert Side Panel (cut part),0.05
T_Shirt_No_Seam,Back Neck Tape,0.0098
T_Shirt_No_Seam,Binding Collar,0.0154
T_Shirt_No_Seam,Binding Shoulder Tape,0.0116
T_Shirt_No_Seam,Binding Back Neck &Shoulder line tape,0.0097
T_Shirt_No_Seam,Binding Bottom Hem,0.0267
T_Shirt_No_Seam,Binding Sleeve Hem Opening,0.0194
T_Shirt_No_Seam,Pocket bag,0.0201
T_Shirt_No_Seam,Not specific yet,1.0
Long_Sleeve_Shirt_Side_Seam,Whole Garment,1.167
Long_Sleeve_Shirt_Side_Seam,Body & Sleeves,1.1400000000000001
Long_Sleeve_Shirt_Side_Seam,Collar,0.027
Long_Sleeve_Shirt_Side_Seam,Sleeves Panel,0.45999999999999996
Long_Sleeve_Shirt_Side_Seam,Front Body Panel,0.34
Long_Sleeve_Shirt_Side_Seam,Back Body Panel,0.34
Long_Sleeve_Shirt_Side_Seam,Gusset Under Arms,0.073
Long_Sleeve_Shirt_Side_Seam,Insert Side Panel (cut part),0.05
Long_Sleeve_Shirt_Side_Seam,Back Neck Tape,0.0098
Long_Sleeve_Shirt_Side_Seam,Binding Collar,0.0148
Long_Sleeve_Shirt_Side_Seam,Binding Shoulder Tape,0.0116
Long_Sleeve_Shirt_Side_Seam,Binding Back Neck &Shoulder line tape,0.0097
Long_Sleeve_Shirt_Side_Seam,Binding Bottom Hem,0.0267
Long_Sleeve_Shirt_Side_Seam,Binding Sleeve Hem Opening,0.0116
Long_Sleeve_Shirt_Side_Seam,Pocket bag,0.0152
Long_Sleeve_Shirt_Side_Seam,Not specific yet,1.0
Long_Sleeve_Shirt_No_Seam,Whole Garment,1.5447
Long_Sleeve_Shirt_No_Seam,Body & Sleeves,1.48
Long_Sleeve_Shirt_No_Seam,Collar,0.055
Long_Sleeve_Shirt_No_Seam,Sleeves Panel,0.75
Long_Sleeve_Shirt_No_Seam,Gusset Under Arms,0.073
Long_Sleeve_Shirt_No_Seam,Insert Side Panel (cut part),0.05
Long_Sleeve_Shirt_No_Seam,Back Neck Tape,0.0098
Long_Sleeve_Shirt_No_Seam,Binding Collar,0.0148
Long_Sleeve_Shirt_No_Seam,Binding Shoulder Tape,0.0116
Long_Sleeve_Shirt_No_Seam,Binding Back Neck &Shoulder line tape,0.0097
Long_Sleeve_Shirt_No_Seam,Binding Bottom Hem,0.0267
Long_Sleeve_Shirt_No_Seam,Binding Sleeve Hem Opening,0.0116
Long_Sleeve_Shirt_No_Seam,Pocket bag,0.0201
Long_Sleeve_Shirt_No_Seam,Not specific yet,1.0
Sleeveless_Shirt_Side_Seam,Whole Garment,0.6567000000000001
Sleeveless_Shirt_Side_Seam,Body,0.62
Sleeveless_Shirt_Side_Seam,Collar,0.027
Sleeveless_Shirt_Side_Seam,Front Body Panel,0.31
Sleeveless_Shirt_Side_Seam,Back Body Panel,0.31
Sleeveless_Shirt_Side_Seam,Gusset Under Arms,0.073
Sleeveless_Shirt_Side_Seam,Insert Side Panel (cut part),0.05
Sleeveless_Shirt_Side_Seam,Back Neck Tape,0.0068
Sleeveless_Shirt_Side_Seam,Binding Collar,0.0148
Sleeveless_Shirt_Side_Seam,Binding Shoulder Tape,0.0116
Sleeveless_Shirt_Side_Seam,Binding Back Neck &Shoulder line tape,0.0097
Sleeveless_Shirt_Side_Seam,Binding Bottom Hem,0.0267
Sleeveless_Shirt_Side_Seam,Binding Sleeve Hem Opening,0.029
Sleeveless_Shirt_Side_Seam,Pocket bag,0.0152
Sleeveless_Shirt_Side_Seam,Not specific yet,1.0
Sleeveless_Shirt_No_Seam,Whole Garment,0.885
Sleeveless_Shirt_No_Seam,Body,0.83
Sleeveless_Shirt_No_Seam,Collar,0.055
Sleeveless_Shirt_No_Seam,Gusset Under Arms,0.065
Sleeveless_Shirt_No_Seam,Insert Side Panel (cut part),0.05
Sleeveless_Shirt_No_Seam,Back Neck Tape,0.0068
Sleeveless_Shirt_No_Seam,Binding Back Neck &Shoulder line tape,0.0097
Sleeveless_Shirt_No_Seam,Binding Bottom Hem,0.0267
Sleeveless_Shirt_No_Seam,Binding Sleeve Hem Opening,0.0076
Sleeveless_Shirt_No_Seam,Pocket bag,0.0201
Sleeveless_Shirt_No_Seam,Not specific yet,1.0
